anime_id,title,type,source,episodes,duration_min,score,studio,genre,start,finish
14811,GJ-bu,TV,Light novel,12,23.0,7.44,Doga Kobo,"Comedy, School, Slice of Life",2013-01-10,2013-03-28
29,Zipang,TV,Manga,26,24.0,7.54,Studio Deen,"Action, Military, Sci-Fi, Historical, Drama, Seinen",2004-10-08,2005-04-01
4177,Bounen no Xamdou,ONA,Original,26,24.0,7.77,Bones,"Action, Military, Sci-Fi",2008-07-15,2009-02-04
11703,Code:Breaker,TV,Manga,13,24.0,6.98,Kinema Citrus,"Action, Comedy, School, Shounen, Super Power, Supernatural",2012-10-07,2012-12-23
25915,Sakura Capusule,OVA,Original,1,40.0,6.19,Lerche,"Slice of Life, Kids",2014-08-29,2014-08-29
2962,Digimon Adventure 02 Movies,Movie,Original,2,32.0,7.21,Toei Animation,"Adventure, Fantasy, Kids, Sci-Fi",2000-07-08,2000-07-08
17423,Pink Lady Monogatari: Eikou no Tenshi-tachi,TV,Other,33,25.0,6.67,Toei Animation,"Music, Slice of Life, Drama",1978-10-24,1979-06-12
32697,Ozmafia!!,TV,Visual novel,12,5.0,5.49,Creators in Pack,"Harem, Historical, Romance, Fantasy, Shoujo",2016-07-07,2016-09-22
9441,Yume-iro Pâtissière SP Professional,TV,Manga,13,24.0,7.77,Studio Pierrot,"Slice of Life, Shoujo",2010-10-03,2010-12-26
2825,Arabian Nights: Sindbad no Bouken (TV),TV,Book,52,25.0,7.25,Nippon Animation,"Adventure, Fantasy, Magic, Romance",1975-10-01,1976-09-29
2215,Kishin Taisen Gigantic Formula,TV,Original,26,24.0,6.94,Brain&#039;s Base,"Mecha, Sci-Fi",2007-04-05,2007-09-27
1029,Omoide Poroporo,Movie,Manga,1,118.0,7.62,Studio Ghibli,"Slice of Life, Drama, Romance",1991-07-20,1991-07-20
36296,Hinamatsuri,TV,Manga,12,23.0,8.05,feel.,"Sci-Fi, Slice of Life, Comedy, Supernatural, Seinen",2018-04-06,
31223,Phantasy Star Online 2 The Animation,TV,Game,12,24.0,6.46,Telecom Animation Film,"Action, Game, Sci-Fi, School",2016-01-08,2016-04-01
9289,Hanasaku Iroha,TV,Original,26,24.0,8.01,P.A. Works,"Slice of Life, Comedy, Drama",2011-04-03,2011-09-25
34257,Cinderella Girls Gekijou,TV,4-koma manga,13,3.0,6.59,"Gathering, Lesprit","Slice of Life, Comedy",2017-04-04,2017-06-27
30137,Big Order,OVA,Manga,1,38.0,5.98,Asread,"Action, Super Power, Shounen",2015-10-03,2015-10-03
33739,Tian Xin Ge Ge,TV,Original,52,22.0,5.8,Puzzle Animation Studio Limited,"Comedy, Historical, Kids",2011-10-04,2011-11-24
8961,Tono to Issho: Ippunkan Gekijou,TV,4-koma manga,12,1.0,6.34,Gathering,"Comedy, Samurai, Seinen",2010-07-06,2010-09-21
